시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,위도,경도
강서뇌성마비 주간보호,C8368,(장애인) 장애인주간보호시설,장애인지역사회재활시설,자치구,박세영,1150000000,강서구,서울특별시 강서구 방화대로45길 692층,37.5743792619027,126.812510581725
강서구희망센터,C8410,(장애인) 장애인보호작업장,장애인직업재활시설,자치구,나치웅,1150000000,강서구,서울특별시 강서구 화곡로31길 25지층(화곡동),37.5412688351696,126.845425339395
늘푸른집,C8420,(장애인) 장애인단기거주시설,장애인거주시설,자치구,임혜숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 1301층,37.5961872116955,126.812994795905
여호와닛시의집,C8627,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정영자,1150000000,강서구,서울특별시 강서구 방화동로5길38-7 (방화동),37.5651688012418,126.810546895217
H2빌,C8644,(장애인) 중증장애인거주시설,장애인거주시설,자치구,김은숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 130-0,37.5844596309774,126.811305868232
교남발달지원센터,C8720,(장애인) 장애인재활치료시설,장애인지역사회재활시설,자치구,황규인,1150000000,강서구,서울특별시 강서구 까치산로22길 38,37.5483421487507,126.852550725902
행복을파는장사꾼,C8782,(장애인) 장애인보호작업장,장애인직업재활시설,자치구,김완수,1150000000,강서구,서울특별시 강서구 까치산로 134 (화곡동),37.5494372023829,126.851443839395
휴샘아동가족발달센터,C8935,(장애인) 장애인재활치료시설,장애인지역사회재활시설,자치구,이정숙,1150000000,강서구,서울특별시 강서구 마곡중앙5로 81,37.5750922662987,126.830513241245
교남공동생활가정2호,C9000,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,서울특별시 강서구 초록마을로19길 12,37.5406807295067,126.851798452888
행복이가득한집 2호,C9181,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김세룡,1150000000,강서구,서울특별시 강서구 월정로18길 20,37.5293734903206,126.839836010559
참행복한세상,C9187,(장애인) 장애인보호작업장,장애인직업재활시설,자치구,이주은,1150000000,강서구,서울특별시 강서구 강서로 462대룡드림타워-1,37.5668808123976,126.841116035697
주은공동생활가정,C9405,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김명희,1150000000,강서구,서울특별시 강서구 강서로5라길 138,37.5302561878032,126.855970610559
40플러스 금곡행복쉼터 주간보호센터,C9711,(장애인) 장애인주간보호시설,장애인지역사회재활시설,자치구,임광수,1150000000,강서구,서울특별시 강서구 방화대로45길 69,37.5743877651741,126.812628598917
마음자리,D0081,(한부모가족) 미혼모자시설,한부모가족복지시설,자치구,김보미,1150000000,강서구,서울특별시 강서구 화곡로53나길 53-0,37.5498416502299,126.846276341244
애란세움터,D0102,(한부모가족) 미혼모공동생활가정,한부모가족복지시설,자치구,양혜경,1150000000,강서구,서울특별시 강서구 강서로47길 61-22엘리트빌 501호,37.5531248282887,126.834279427751
구세군한아름,D1004,(한부모가족) 부자공동생활가정,한부모가족복지시설,자치구,여운자,1150000000,강서구,서울특별시 강서구 까치산로8길 36-5[화곡본동 61-87],37.5422291659267,126.845876504737
한남하우스,D1034,(한부모가족) 미혼모자공동생활가정,한부모가족복지시설,자치구,박현주,1150000000,강서구,서울특별시 강서구 방화대로6가길 34,37.5536199324869,126.816843281724
여울목,F0045,(정신보건) 재활훈련시설-공동생활가정,정신재활시설,자치구,최현모,1150000000,강서구,서울특별시 강서구 화곡로13길 66-28301호 (화곡동),37.5329616826367,126.85705204717
한마음세상,F0135,(정신보건) 종합시설,정신재활시설,자치구,이현주,1150000000,강서구,서울특별시 강서구 초록마을로32길 33-18,37.5380864803486,126.846349883573
강서그룹홈,F0138,(정신보건) 재활훈련시설-공동생활가정,정신재활시설,자치구,장재선,1150000000,강서구,서울특별시 강서구 초록마을로16길 20201호 (화곡동),37.5413431491133,126.849552054737
강서양지,F0193,(정신보건) 재활훈련시설-공동생활가정,정신재활시설,자치구,김동숙,1150000000,강서구,서울특별시 강서구 등촌로35가길 26-0 (등촌동 569-5) 301호,37.5375831444217,126.862276654737
예체르하우스,F0383,(정신보건) 재활훈련시설-공동생활가정,정신재활시설,자치구,김해룡,1150000000,강서구,서울특별시 강서구 방화대로6바길 5-25301호 (공항동)(공항동),37.5561253140037,126.818616539395
새벗클럽하우스,F0415,(정신보건) 재활훈련시설-주간재활시설,정신재활시설,자치구,이현섭,1150000000,강서구,서울특별시 강서구 강서로52길 88-0 참빛빌딩 3층 4층,37.5574854205741,126.843143254738
등촌1종합사회복지관 다솜방과후교실,F04230,(아동) 지역아동센터,아동복지시설,자치구,김선기,1150000000,강서구,서울특별시 강서구 강서로68길 36 (등촌동,37.5650573928732,126.842551297067
강서시니어스주야간보호센터,F04393,(노인) 재가노인복지시설,재가노인복지시설,자치구,김혜진,1150000000,강서구,서울특별시 강서구 공항대로 315 (등촌동),37.558565650021,126.859327997429
공감플러스,F0551,(정신보건) 재활훈련시설-직업재활시설,정신재활시설,자치구,이은선,1150000000,강서구,서울특별시 강서구 화곡로61길 130(등촌동,37.5588321164233,126.84515380871
강서실버센터,G0911,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동환,1150000000,강서구,서울특별시 강서구 강서로45길174,37.5529678943235,126.830522924053
화곡본동성당데이케어센터,G1053,(노인) 재가노인복지시설,재가노인복지시설,자치구,김연순,1150000000,강서구,서울특별시 강서구 까치산로2길43,37.539506461419,126.843666383573
(주)롱라이프그린케어 강서재가노인복지센터,G1368,(노인) 재가노인복지시설,재가노인복지시설,자치구,성연식,1150000000,강서구,서울특별시 강서구 양천로100-1,37.5734031783276,126.815116470081
88등촌데이케어센터,G1369,(노인) 재가노인복지시설,재가노인복지시설,자치구,곽윤자,1150000000,강서구,서울특별시 강서구 화곡로61길 41-1 (등촌동,37.557454894529,126.849974852888
국민재가복지센터,G1566,(노인) 재가노인복지시설,재가노인복지시설,자치구,유순례,1150000000,강서구,서울특별시 강서구 공항대로41길66 (등촌동),37.560817210305,126.846436151039
수명산요양원,G1570,(노인) 노인요양시설,노인의료복지시설,자치구,한미영,1150000000,강서구,서울특별시 강서구 수명로2가길 25-16(내발산동,37.5484301050681,126.823847986518
강서힐링데이케어센터,G1757,(노인) 재가노인복지시설,재가노인복지시설,자치구,박갑주,1150000000,강서구,서울특별시 강서구 수명로68-23,37.5526924353452,126.82649360871
사회적협동조합 강서나눔돌봄재가센터,G1797,(노인) 재가노인복지시설,재가노인복지시설,자치구,한복남,1150000000,강서구,서울특별시 강서구 강서로18길 14-0 5층 (화곡동),37.5336784542227,126.846642912408
강서사랑요양원,G1803,(노인) 노인요양시설,노인의료복지시설,자치구,김인곤,1150000000,강서구,서울특별시 강서구 곰달래로 71 (화곡동),37.5304932539156,126.840789312408
햇살요양원,G1932,(노인) 노인요양시설,노인의료복지시설,자치구,이상희,1150000000,강서구,서울특별시 강서구 공항대로41길 34-0 (등촌동)34 (등촌동),37.5593723127414,126.845712103162
참사랑실버케어,G1934,(노인) 노인요양시설,노인의료복지시설,자치구,김미원,1150000000,강서구,서울특별시 강서구 까치산로106 (화곡동),37.547769969525,126.84932947008
밝은햇살요양원,G2062,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,박종하,1150000000,강서구,서울특별시 강서구 강서로29길38,37.5393975763095,126.839722825902
성심노인요양원,G2324,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김연호,1150000000,강서구,서울특별시 강서구 강서로74길36,37.5670496828257,126.842694337546
위포유재가복지센터,G2551,(노인) 재가노인복지시설,재가노인복지시설,자치구,최진용,1150000000,강서구,서울특별시 강서구 화곡로61길 100,37.5586096069143,126.846990868231
강서샬롬데이케어센터,G2694,(노인) 재가노인복지시설,재가노인복지시설,자치구,서준원,1150000000,강서구,서울특별시 강서구 방화동로 115-0 (방화동)115,37.5708270424603,126.812331412409
한가람요양원,G2846,(노인) 노인요양시설,노인의료복지시설,자치구,최연임,1150000000,강서구,서울특별시 강서구 등촌로 183,37.5463835093531,126.862326398915
행복마지요양원,G3108,(노인) 노인요양시설,노인의료복지시설,자치구,정한준,1150000000,강서구,서울특별시 강서구 강서로12길 8-8,37.531469317125,126.847453595216
새마음요양원,G3124,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,신평식,1150000000,강서구,서울특별시 강서구 공항대로41길 34,37.5594302963174,126.845653253362
희망요양원,G3125,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,최부수,1150000000,강서구,서울특별시 강서구 공항대로41길 34,37.5594583044923,126.845681339395
솔요양원,G3335,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,김은옥,1150000000,강서구,서울특별시 강서구 강서로17길 25 (화곡동,37.5327980725122,126.844396366381
푸른요양원,G3336,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,전형묵,1150000000,강서구,서울특별시 강서구 강서로17길 25 (화곡동,37.5327980725122,126.844396366381
푸른솔요양원,G3346,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,오선영,1150000000,강서구,서울특별시 강서구 강서로17길 25 (화곡동,37.5327980725122,126.844396366381
엔젤리아데이케어센터,G3442,(노인) 재가노인복지시설,재가노인복지시설,자치구,이해진,1150000000,강서구,서울특별시 강서구 공항대로41길 34-0 (등촌동)34,37.5593782046816,126.845689947067
아름다운은빛재가노인복지센터,G3973,(노인) 재가노인복지시설,재가노인복지시설,자치구,최옥주,1150000000,강서구,서울특별시 강서구 양천로26길 18,37.572996083134,126.817972370081
가족사랑노인요양원,G4496,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,강번영,1150000000,강서구,서울특별시 강서구 곰달래로 97,37.5307124279133,126.843577810559
늘푸른요양원,G4758,(노인) 노인요양시설,노인의료복지시설,자치구,남정애,1150000000,강서구,서울특별시 강서구 수명로 80,37.5533985217848,126.826390925902
강서중앙데이케어센터,G4834,(노인) 재가노인복지시설,재가노인복지시설,자치구,홍종태,1150000000,강서구,서울특별시 강서구 양천로 132,37.5733159717753,126.81852401241
강서데이케어센터,G4964,(노인) 재가노인복지시설,재가노인복지시설,자치구,조미숙,1150000000,강서구,서울특별시 강서구 화곡로 225,37.5455985440398,126.844320954737
화곡주야간재가복지센터,G5306,(노인) 재가노인복지시설,재가노인복지시설,자치구,김미관,1150000000,강서구,서울특별시 강서구 까치산로 75,37.5455759638606,126.84701896823
가족사랑복지센터,G5533,(노인) 재가노인복지시설,재가노인복지시설,자치구,임정자,1150000000,강서구,서울특별시 강서구 곰달래로 137-1,37.5310209268575,126.848298212408
사랑모아데이케어센터,G5582,(노인) 재가노인복지시설,재가노인복지시설,자치구,이정숙,1150000000,강서구,서울특별시 강서구 강서로52길 50,37.557631104499,126.840886125902
서울시사회서비스원 강서종합재가센터,G5697,(노인) 재가노인복지시설,재가노인복지시설,자치구,성권영,1150000000,강서구,서울특별시 강서구 공항대로 325,37.5584652124399,126.843948541245
늘푸른주야간보호센터,G6065,(노인) 재가노인복지시설,재가노인복지시설,자치구,남정애,1150000000,강서구,서울특별시 강서구 수명로 80,37.5533985217848,126.826423112409
강서재활전문데이케어센터,G6293,(노인) 재가노인복지시설,재가노인복지시설,자치구,김동혁,1150000000,강서구,서울특별시 강서구 방화동로 115,37.5708950718491,126.812320683574
새희망노인복지센터,G6331,(노인) 재가노인복지시설,재가노인복지시설,자치구,서매자,1150000000,강서구,서울특별시 강서구 가로공원로80길 74,37.5343891681556,126.840412527751
99팔팔재가노인복지센터,G6775,(노인) 재가노인복지시설,재가노인복지시설,자치구,김혜경,1150000000,강서구,서울특별시 강서구 공항대로 426,37.5549898117348,126.854105579875
사랑방재가방문요양센터,G7319,(노인) 재가노인복지시설,재가노인복지시설,자치구,김정민,1150000000,강서구,서울특별시 강서구 마곡동로10길 46,37.5737511516389,126.838670306169
토탈방문간호 재가노인복지센터,G7325,(노인) 재가노인복지시설,재가노인복지시설,자치구,선우해반슬,1150000000,강서구,서울특별시 강서구 공항대로242,37.5773399431642,126.818676310659
A 효담라이프케어 강서데이케어센터,G7355,(노인) 재가노인복지시설,재가노인복지시설,자치구,임화복,1150000000,강서구,서울특별시 강서구 공항대로 220,37.5773399431642,126.818676310659
해든데이케어센터,G7446,(노인) 재가노인복지시설,재가노인복지시설,자치구,권병성,1150000000,강서구,서울특별시 강서구 곰달래로170,37.5309011859638,126.851815325901
참조은 데이케어센터,G8140,(노인) 재가노인복지시설,재가노인복지시설,자치구,김영훈,1150000000,강서구,서울특별시 강서구 양천로 31,37.5730573518959,126.807350754738
재단법인 서울특별시 사회서비스원 강서구립 든든데이케어센터,G8266,(노인) 재가노인복지시설,재가노인복지시설,자치구,장진숙,1150000000,강서구,서울특별시 강서구 공항대로2가길 5,37.5605790256645,126.808954454738
라온,K0049,(아동) 공동생활가정,아동복지시설,자치구,김용진,1150000000,강서구,서울특별시 강서구 송정로 14-121층 (공항동),37.5565208595742,126.812288468231
소은지역아동센터,K0258,(아동) 지역아동센터,아동복지시설,자치구,정경화,1150000000,강서구,서울특별시 강서구 방화대로6나길 17,37.5559280091646,126.81676061056
효주아녜스의집,K0377,(아동) 공동생활가정,아동복지시설,자치구,곽근,1150000000,강서구,서울특별시 강서구 까치산로4가길36 (화곡동,37.5411728424947,126.842624410559
강서누리지역아동센터,K0435,(아동) 지역아동센터,아동복지시설,자치구,김순자,1150000000,강서구,서울특별시 강서구 송정로 32,37.5580410136988,126.81140121056
케어콜실버센터,M0455,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,정명주,1150000000,강서구,서울특별시 강서구 강서로5나길 745층,37.5287135581792,126.844060554737
요안나요양원,M0574,(노인) 노인요양시설,노인의료복지시설,자치구,오명자,1150000000,강서구,서울특별시 강서구 화곡로 254,37.5477874377948,126.846365997066
다복공동생활가정,M0651,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,조용일,1150000000,강서구,서울특별시 강서구 화곡로 225-0225,37.5455134784196,126.844299497066
봄날강서요양원,M1182,(노인) 노인요양시설,노인의료복지시설,자치구,채재혁,1150000000,강서구,서울특별시 강서구 양천로11길 15-11(방화동),37.5741491825116,126.809202837546
맑은공동생활가정,M1276,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,신일규,1150000000,강서구,서울특별시 강서구 화곡로225,37.5455900374821,126.844310225902
강서구건강가정지원센터,W0869,(건강가정) 건강가정지원센터,건강가정지원센터,자치구,박정숙,1150000000,강서구,서울특별시 강서구 우현로 34,37.5484563483989,126.841784039395
강서구다문화가족지원센터,W2203,(다문화가족) 다문화가족지원센터,다문화가족복지시설,자치구,박정숙,1150000000,강서구,서울특별시 강서구 우현로 34,37.5484563483989,126.841784039395
지온보육원,X9433,(아동) 아동양육시설,아동복지시설,자치구,박국자,1150000000,강서구,서울특별시 강서구 금낭화로26가길 120,37.5843450205179,126.81181881056
서울강서등촌지역자활센터,Z0005,(저소득) 지역자활센터,자활시설,자치구,장재승,1150000000,강서구,서울특별시 강서구 양천로 335,37.5695141066356,126.840534568231
서울강서지역자활센터,Z0329,(저소득) 지역자활센터,자활시설,자치구,이용구,1150000000,강서구,서울특별시 강서구 화곡2동 곰달래로 180,37.5310402690842,126.852852266381
가양4종합사회복지관,Z5017,(일반) 사회복지관,일반사회복지시설,자치구,정성원,1150000000,강서구,서울특별시 강서구 양천로57길 37,37.5651775925164,126.851986768231
가양5종합사회복지관,Z5018,(일반) 사회복지관,일반사회복지시설,자치구,조인영,1150000000,강서구,서울특별시 강서구 양천로57길 36,37.5638588369548,126.854746754738
가양7종합사회복지관,Z5019,(일반) 사회복지관,일반사회복지시설,자치구,이재영,1150000000,강서구,서울특별시 강서구 허준로 209(가양동),37.5619141786139,126.86157937008
등촌1종합사회복지관,Z5113,(일반) 사회복지관,일반사회복지시설,자치구,강형태,1150000000,강서구,서울특별시 강서구 강서로68길 36주공1단지아파트내,37.5659062548199,126.842101491696
등촌4종합사회복지관,Z5114,(일반) 사회복지관,일반사회복지시설,자치구,송인석,1150000000,강서구,서울특별시 강서구 공항대로39길 59,37.5617255217381,126.843510525902
등촌7종합사회복지관,Z5115,(일반) 사회복지관,일반사회복지시설,자치구,이철우,1150000000,강서구,서울특별시 강서구 공항대로43길 104,37.560884466588,126.851623725902
등촌9종합사회복지관,Z5116,(일반) 사회복지관,일반사회복지시설,자치구,김기철,1150000000,강서구,서울특별시 강서구 화곡로 63가길 92등촌9단지아파트내,37.5617846741947,126.849781697067
방화11종합사회복지관,Z5139,(일반) 사회복지관,일반사회복지시설,자치구,김상진,1150000000,강서구,서울특별시 강서구 개화동로 21길 4sh공사 11단지아파트 내,37.5696265549565,126.805995034943
방화2종합사회복지관,Z5140,(일반) 사회복지관,일반사회복지시설,자치구,김지연,1150000000,강서구,서울특별시 강서구 방화대로48길 40방화2종합사회복지관,37.5750552728565,126.819587698916
방화6종합사회복지관,Z5141,(일반) 사회복지관,일반사회복지시설,자치구,김성미,1150000000,강서구,서울특별시 강서구 금낭화로23길 25-0,37.5785849639875,126.810986466382
강서구치매지원센터,Z5448,(노인) (기타)노인복지시설,노인기타,자치구,정지향,1150000000,강서구,서울특별시 강서구 화곡로 371경향교회회관 3층,37.5574636192892,126.852421419902